,Spearman_coef,Sp-value,mic_score,row
KCNK1,0.5347815322598896,2.3482818472268465e-100,0.48553629191397035,4072
IGSF3,0.5337652596721052,6.527890208557716e-100,0.4834361545764053,3807
OGDHL,0.5761292923360548,8.847203900279296e-120,0.4806445315782031,5578
SYT13,0.5562040065287918,4.4481688458931313e-110,0.47592087809626277,8143
ACO1,-0.12225218818212412,6.917470378438267e-06,0.4734832538754895,98
CHRDL1,-0.05812711363278604,0.03304071562239608,0.4720468691318365,1525
CACNA1B,0.5362400377089919,5.380916949629226e-101,0.4673328369757063,1068
FZD4,-0.1284313184869637,2.2974956119177254e-06,0.4664428328363554,3046
MAST1,0.4689808104338699,1.6918600608270867e-74,0.4663706028765918,4639
PDE3B,-0.5260626268874704,1.353331197397994e-96,0.46570877617463496,5797
FABP4,-0.1455403384236359,8.267633394346684e-08,0.4645522945516182,2743
TMEM59L,0.5520501035916787,3.880439947994053e-108,0.46408872756970454,8520
LIMA1,-0.07882400517985676,0.0038203783821851283,0.4636170782453774,4348
ITIH5,-0.11860037022729525,1.295083275801578e-05,0.4611450469802832,3980
ANGPTL2,-0.16381268016324577,1.5128891710839947e-09,0.4590885023855718,376
CPLX2,0.47583690579010435,6.169414408273657e-77,0.45887272817804614,1785
YAP1,-0.11057327516592805,4.826204710652818e-05,0.4579966739606293,9262
GRIN1,0.46929134248522564,1.3156204270459338e-74,0.4566937417604449,3369
KIF1A,0.5743418998891991,6.988884144662072e-119,0.45604424061704085,4147
ADIPOQ,-0.4359512570393695,1.680529316192551e-63,0.4541828676945753,207
SLITRK5,0.5153128238944671,4.164589173630213e-92,0.45338978950208914,7700
CDK5R2,0.44419679618734553,3.913240720011266e-66,0.4531560211989692,1373
CDH2,0.5459085686171185,2.5621187307759737e-105,0.4526857578441777,1346
LAMA4,-0.1460729820979204,7.406429792239046e-08,0.4526467175316932,4266
GYG2,-0.10157903573194632,0.00019032344175733048,0.452034641555438,3448
ASIC2,0.46133201175498906,7.650154871265209e-72,0.4507688148823084,637
GPD1,-0.14071733331729877,2.1986582233049093e-07,0.44982730036750046,3308
ATP1A1,0.529865701735302,3.195645322300725e-98,0.4495640702687946,699
ARHGAP44,0.5471779258749776,6.770203653911615e-106,0.4486707676849333,541
GHR,-0.13565244592822065,5.931852684111786e-07,0.44787932598677854,3177
PROM1,0.6140416166338697,3.3555451892865033e-140,0.4475473331875086,6390
SPOCK3,0.5435096151055074,3.1204048836176387e-104,0.44385180565070326,7897
PRKAR2B,-0.14711408639765464,5.966746297194317e-08,0.4437213529122569,6362
EHD2,-0.17895884304722806,3.829943375755015e-11,0.4431460523294176,2474
CDKN2B,-0.08254144909729613,0.0024495793618443448,0.4428983142920031,1388
RAP1GAP,0.539946885973418,1.2312599585012996e-102,0.44289212846166254,6705
HOMER2,0.4628096490663873,2.376563012226927e-72,0.441972214865995,3641
USH1C,0.5403593789874286,8.063580968201546e-103,0.44185569922263,9009
ASS1,-0.14363813260540764,1.2206439093199068e-07,0.44157769547740877,651
SYT5,0.4289909612295735,2.4661135134312014e-61,0.44110435892092015,8146
CLUL1,0.4921096460546337,5.976975570881012e-83,0.4408500276309719,1630
CAV1,-0.12212165644560889,7.076476012724272e-06,0.4401714583499262,1169
STXBP5L,0.46432102179257007,7.145797799885562e-73,0.43989888359945034,8077
DLG3,0.5090341201018602,1.4707202072668586e-89,0.4398841590372364,2211
GAD1,0.47249955626051604,9.637886945604408e-76,0.43972006988064993,3080
